"time","dut_turbine.phi","dut_turbine.w","test_bench_ctrl.x","testbench_coupling.phi_rel","testbench_coupling.w_rel","der(dut_turbine.phi)","der(dut_turbine.w)","der(test_bench_ctrl.x)","der(testbench_coupling.phi_rel)","der(testbench_coupling.w_rel)","der(der(tortion_sensor.phi_rel))","der(testbench_inertia.phi)","der(testbench_inertia.w)","der(tortion_sensor.phi_rel)","dut_turbine.a","test_bench_feedback.y","test_bench_speed_sensor.flange.tau","test_bench_torque.tau","testbench_coupling.a_rel","testbench_coupling.lossPower","testbench_coupling.tau","testbench_inertia.a","testbench_inertia.phi","testbench_inertia.w","tortion_sensor.flange_a.tau","tortion_sensor.flange_b.tau","tortion_sensor.phi_rel","dut_torque_ctrl.flange.phi","dut_turbine.flange_a.phi","dut_turbine.flange_a.tau","dut_turbine.flange_b.phi","test_bench_ctrl.u","test_bench_ctrl.y","test_bench_feedback.u2","test_bench_speed_sensor.flange.phi","test_bench_speed_sensor.w","test_bench_torque.flange.phi","test_bench_torque.flange.tau","testbench_coupling.flange_a.phi","testbench_coupling.flange_a.tau","testbench_coupling.flange_b.phi","testbench_coupling.flange_b.tau","testbench_inertia.flange_a.phi","testbench_inertia.flange_a.tau","testbench_inertia.flange_b.phi","testbench_inertia.flange_b.tau","tortion_sensor.flange_a.phi","tortion_sensor.flange_b.phi"
0,0,0,0,0,0,0,-1,1,0,-2,2,0,1,-0,-1,1,0,1,-2,0,0,1,0,0,0,0,-0,0,0,-0,0,1,1,0,0,0,0,-1,0,-0,0,0,0,1,0,0,0,0
0.1,-0.004673830851380748,-0.09033014624146418,0.0953220291965748,-0.0093518016548053,-0.1808232531240775,-0.09033014624146418,-0.8098249452211173,0.9095068931173867,-0.1808232531240775,-1.624478812756196,1.624478812756196,0.09049310688261328,0.8146538675350787,0.1808232531240775,-0.8098249452211173,0.9095068931173867,0,1.004828922313961,-1.624478812756196,0.03269704887037419,-0.1901750547788827,0.8146538675350787,0.004677970803424552,0.09049310688261328,0,0,0.0093518016548053,-0.004673830851380748,-0.004673830851380748,0.1901750547788827,-0.004673830851380748,0.9095068931173867,1.004828922313961,0.09049310688261328,0.004677970803424552,0.09049310688261328,0.004677970803424552,-1.004828922313961,0.004677970803424552,0.1901750547788827,-0.004673830851380748,-0.1901750547788827,0.004677970803424552,1.004828922313961,0.004677970803424552,-0.1901750547788827,-0.004673830851380748,0.004677970803424552
0.2,-0.0174623679796731,-0.1625968928619912,0.1824736054316548,-0.03498876254801787,-0.3264589238018294,-0.1625968928619912,-0.6385523136501527,0.8361379690601618,-0.3264589238018294,-1.295716201792122,1.295716201792122,0.1638620309398382,0.6571638881419692,0.3264589238018294,-0.6385523136501527,0.8361379690601618,0,1.018611574491816,-1.295716201792122,0.1065754289298487,-0.3614476863498473,0.6571638881419692,0.01752639456834477,0.1638620309398382,0,0,0.03498876254801787,-0.0174623679796731,-0.0174623679796731,0.3614476863498473,-0.0174623679796731,0.8361379690601618,1.018611574491816,0.1638620309398382,0.01752639456834477,0.1638620309398382,0.01752639456834477,-1.018611574491816,0.01752639456834477,0.3614476863498473,-0.0174623679796731,-0.3614476863498473,0.01752639456834477,1.018611574491816,0.01752639456834477,-0.3614476863498473,-0.0174623679796731,0.01752639456834477
0.3,-0.03665182551244359,-0.2186307203478375,0.2630316114611359,-0.07362021405130671,-0.4414088910401053,-0.2186307203478375,-0.484970894908588,0.7772218293077322,-0.4414088910401053,-1.010195230586044,1.010195230586044,0.2227781706922678,0.5252243356774562,0.4414088910401053,-0.484970894908588,0.7772218293077322,0,1.040253440768868,-1.010195230586044,0.1948418090892555,-0.515029105091412,0.5252243356774562,0.03696838853886312,0.2227781706922678,0,0,0.07362021405130671,-0.03665182551244359,-0.03665182551244359,0.515029105091412,-0.03665182551244359,0.7772218293077322,1.040253440768868,0.2227781706922678,0.03696838853886312,0.2227781706922678,0.03696838853886312,-1.040253440768868,0.03696838853886312,0.515029105091412,-0.03665182551244359,-0.515029105091412,0.03696838853886312,1.040253440768868,0.03696838853886312,-0.515029105091412,-0.03665182551244359,0.03696838853886312
0.4,-0.0607044523023816,-0.2601378212048562,0.338318343307962,-0.1223861089944187,-0.5298161945417832,-0.2601378212048562,-0.3477976964637981,0.730321626663073,-0.5298161945417832,-0.7642353628986311,0.7642353628986311,0.269678373336927,0.416437666434833,0.5298161945417832,-0.3477976964637981,0.730321626663073,0,1.068639969971035,-0.7642353628986311,0.2807051999987367,-0.6522023035362019,0.416437666434833,0.06168165669203705,0.269678373336927,0,0,0.1223861089944187,-0.0607044523023816,-0.0607044523023816,0.6522023035362019,-0.0607044523023816,0.730321626663073,1.068639969971035,0.269678373336927,0.06168165669203705,0.269678373336927,0.06168165669203705,-1.068639969971035,0.06168165669203705,0.6522023035362019,-0.0607044523023816,-0.6522023035362019,0.06168165669203705,1.068639969971035,0.06168165669203705,-0.6522023035362019,-0.0607044523023816,0.06168165669203705
0.5,-0.0882476024179126,-0.2886935853940747,0.4094234634122212,-0.1788241390056903,-0.5954506076155706,-0.2886935853940747,-0.2257252533787392,0.6932429777785042,-0.5954506076155706,-0.5541169479482038,0.5541169479482038,0.3067570222214958,0.3283916945694646,0.5954506076155706,-0.2257252533787392,0.6932429777785042,0,1.102666441190725,-0.5541169479482038,0.3545614261097522,-0.7742747466212608,0.3283916945694646,0.0905765365877777,0.3067570222214958,0,0,0.1788241390056903,-0.0882476024179126,-0.0882476024179126,0.7742747466212608,-0.0882476024179126,0.6932429777785042,1.102666441190725,0.3067570222214958,0.0905765365877777,0.3067570222214958,0.0905765365877777,-1.102666441190725,0.0905765365877777,0.7742747466212608,-0.0882476024179126,-0.7742747466212608,0.0905765365877777,1.102666441190725,0.0905765365877777,-0.7742747466212608,-0.0882476024179126,0.0905765365877777
0.6,-0.1180595611445793,-0.3057430423426487,0.4772292661610569,-0.2408302949835214,-0.6417121826429911,-0.3057430423426487,-0.1174575223734875,0.6640308596996576,-0.6417121826429911,-0.3761751706076895,0.3761751706076895,0.3359691403003425,0.258717648234202,0.6417121826429911,-0.1174575223734875,0.6640308596996576,0,1.141260125860714,-0.3761751706076895,0.4117945253524316,-0.8825424776265125,0.258717648234202,0.1227707338389421,0.3359691403003425,0,0,0.2408302949835214,-0.1180595611445793,-0.1180595611445793,0.8825424776265125,-0.1180595611445793,0.6640308596996576,1.141260125860714,0.3359691403003425,0.1227707338389421,0.3359691403003425,0.1227707338389421,-1.141260125860714,0.1227707338389421,0.8825424776265125,-0.1180595611445793,-0.8825424776265125,0.1227707338389421,1.141260125860714,0.1227707338389421,-0.8825424776265125,-0.1180595611445793,0.1227707338389421
0.7,-0.1490566975248586,-0.3126033704223836,0.5424342077475032,-0.3066224897773542,-0.6716403131274855,-0.3126033704223836,-0.02173719709516031,0.6409630572948981,-0.6716403131274855,-0.2268716592327218,0.2268716592327218,0.3590369427051019,0.2051344621375615,0.6716403131274855,-0.02173719709516031,0.6409630572948981,0,1.183397265042401,-0.2268716592327218,0.4511007102179868,-0.9782628029048397,0.2051344621375615,0.1575657922524956,0.3590369427051019,0,0,0.3066224897773542,-0.1490566975248586,-0.1490566975248586,0.9782628029048397,-0.1490566975248586,0.6409630572948981,1.183397265042401,0.3590369427051019,0.1575657922524956,0.3590369427051019,0.1575657922524956,-1.183397265042401,0.1575657922524956,0.9782628029048397,-0.1490566975248586,-0.9782628029048397,0.1575657922524956,1.183397265042401,0.1575657922524956,-0.9782628029048397,-0.1490566975248586,0.1575657922524956
0.8,-0.1802806644195335,-0.3104686258369928,0.6055762403784206,-0.3747044240411111,-0.6879286925142435,-0.3104686258369928,0.06263311655535464,0.6225399333227493,-0.6879286925142435,-0.1028499405904606,0.1028499405904606,0.3774600666772507,0.1654830571458152,0.6879286925142435,0.06263311655535464,0.6225399333227493,0,1.22811617370117,-0.1028499405904606,0.4732458859843566,-1.062633116555355,0.1654830571458152,0.1944237596215776,0.3774600666772507,0,0,0.3747044240411111,-0.1802806644195335,-0.1802806644195335,1.062633116555355,-0.1802806644195335,0.6225399333227493,1.22811617370117,0.3774600666772507,0.1944237596215776,0.3774600666772507,0.1944237596215776,-1.22811617370117,0.1944237596215776,1.062633116555355,-0.1802806644195335,-1.062633116555355,0.1944237596215776,1.22811617370117,0.1944237596215776,-1.062633116555355,-0.1802806644195335,0.1944237596215776
0.9,-0.210886493501162,-0.3004169129866649,0.6670541423085552,-0.4438323511926048,-0.692946543302563,-0.3004169129866649,0.1367788944951678,0.607470369684102,-0.692946543302563,-0.00096672300232159,0.00096672300232159,0.3925296303158981,0.1377456174974894,0.692946543302563,0.1367788944951678,0.607470369684102,0,1.274524511992657,-0.00096672300232159,0.4801749118749708,-1.136778894495168,0.1377456174974894,0.2329458576914429,0.3925296303158981,0,0,0.4438323511926048,-0.210886493501162,-0.210886493501162,1.136778894495168,-0.210886493501162,0.607470369684102,1.274524511992657,0.3925296303158981,0.2329458576914429,0.3925296303158981,0.2329458576914429,-1.274524511992657,0.2329458576914429,1.136778894495168,-0.210886493501162,-1.136778894495168,0.2329458576914429,1.274524511992657,0.2329458576914429,-1.136778894495168,-0.210886493501162,0.2329458576914429
