"time","dut.dut_turbine.phi","dut.dut_turbine.w","testBench.test_bench_ctrl.x","testBench.testbench_inertia.phi","testBench.testbench_inertia.w","der(dut.dut_turbine.phi)","der(dut.dut_turbine.w)","der(testBench.test_bench_ctrl.x)","der(testBench.testbench_inertia.phi)","der(testBench.testbench_inertia.w)","der(testBench.coupling.phi)","der(testBench.coupling.w_internal)","der(testBench.testbench_coupling.phi_rel)","der(testBench.testbench_coupling.w_rel)","dut.angleToTorqueAdaptor.move.phi_support","dut.in_acceleration","dut.out_acceleration","testBench.angle_sensor.flange.tau","testBench.coupling.phi","testBench.coupling.w_internal","testBench.test_bench_feedback.y","testBench.test_bench_speed_sensor.flange.tau","testBench.test_bench_torque.phi_support","testBench.test_bench_torque.tau","testBench.testbench_coupling.a_rel","testBench.testbench_coupling.lossPower","testBench.testbench_coupling.phi_rel","testBench.testbench_coupling.tau","testBench.testbench_coupling.tau_c","testBench.testbench_coupling.tau_d","testBench.testbench_coupling.w_rel","testBench.testbench_inertia.a","dut.angleToTorqueAdaptor.a","dut.angleToTorqueAdaptor.flange.phi","dut.angleToTorqueAdaptor.flange.tau","dut.angleToTorqueAdaptor.move.flange.phi","dut.angleToTorqueAdaptor.move.flange.tau","dut.angleToTorqueAdaptor.move.phi","dut.angleToTorqueAdaptor.move.u[1]","dut.angleToTorqueAdaptor.move.u[2]","dut.angleToTorqueAdaptor.move.u[3]","dut.angleToTorqueAdaptor.multiplex3.u1[1]","dut.angleToTorqueAdaptor.multiplex3.u2[1]","dut.angleToTorqueAdaptor.multiplex3.u3[1]","dut.angleToTorqueAdaptor.multiplex3.y[1]","dut.angleToTorqueAdaptor.multiplex3.y[2]","dut.angleToTorqueAdaptor.multiplex3.y[3]","dut.angleToTorqueAdaptor.phi","dut.angleToTorqueAdaptor.tau","dut.angleToTorqueAdaptor.torqueSensor.flange_a.phi","dut.angleToTorqueAdaptor.torqueSensor.flange_a.tau","dut.angleToTorqueAdaptor.torqueSensor.flange_b.phi","dut.angleToTorqueAdaptor.torqueSensor.flange_b.tau","dut.angleToTorqueAdaptor.torqueSensor.tau","dut.angleToTorqueAdaptor.w","dut.coupling.a","dut.coupling.a_internal","dut.coupling.flange.phi","dut.coupling.phi","dut.coupling.w","dut.coupling.w_internal","dut.dut_turbine.a","dut.dut_turbine.flange_a.phi","dut.dut_turbine.flange_a.tau","dut.dut_turbine.flange_b.phi","dut.in_angle","dut.in_speed","dut.out_angle","dut.out_speed","dut.out_torque","testBench.angle_sensor.flange.phi","testBench.angle_sensor.phi","testBench.coupling.a","testBench.coupling.a_internal","testBench.coupling.flange.phi","testBench.coupling.flange.tau","testBench.coupling.tau","testBench.coupling.w","testBench.in_torque","testBench.out_acceleration","testBench.out_angle","testBench.out_angle_inertia","testBench.out_speed","testBench.test_bench_ctrl.u","testBench.test_bench_ctrl.y","testBench.test_bench_feedback.u2","testBench.test_bench_speed_sensor.flange.phi","testBench.test_bench_speed_sensor.w","testBench.test_bench_torque.flange.phi","testBench.test_bench_torque.flange.tau","testBench.testbench_coupling.flange_a.phi","testBench.testbench_coupling.flange_a.tau","testBench.testbench_coupling.flange_b.phi","testBench.testbench_coupling.flange_b.tau","testBench.testbench_inertia.flange_a.phi","testBench.testbench_inertia.flange_a.tau","testBench.testbench_inertia.flange_b.phi","testBench.testbench_inertia.flange_b.tau"
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-0,0,-0,0,0,-0,0,1,1,0,0,0,0,1,0,-0,0,0,0,0,0,-0,0,0,1,1,0,-0,-0,0,-0,1,0,0,0,1,1,0,0,0,0,-1,0,-0,0,0,0,1,0,0
0.1,0.004999909582211831,0.0999958195807942,0.09500418207863741,0.004995817921361809,0.09984014372090971,0.0999958195807942,0.9998402324792655,0.9001598562790902,0.09984014372090971,0.9953238058784621,0.0999958195807942,0.9998402324792655,0.000155675859884491,0.004516426600803314,0,0.9998402324792655,0.9998402324792655,0,0.004999909582211831,0.0999958195807942,0.9001598562790902,0,0,0.9951640383577276,0.004516426600803314,2.423497335077566e-08,4.091660850022612e-06,0.0001597675207345136,4.091660850022612e-06,0.000155675859884491,0.000155675859884491,0.9953238058784621,0.9998402324792655,0.004999909582211831,0.0001597675207345136,0.004999909582211831,0.0001597675207345136,0.004999909582211831,0.004999909582211831,0.0999958195807942,0.9998402324792655,0.004999909582211831,0.0999958195807942,0.9998402324792655,0.004999909582211831,0.0999958195807942,0.9998402324792655,0.004999909582211831,-0.0001597675207345136,0.004999909582211831,-0.0001597675207345136,0.004999909582211831,0.0001597675207345136,-0.0001597675207345136,0.0999958195807942,0.9998402324792655,0.9998402324792655,0.004999909582211831,0.004999909582211831,0.0999958195807942,0.0999958195807942,0.9998402324792655,0.004999909582211831,-0.0001597675207345136,0.004999909582211831,0.004999909582211831,0.0999958195807942,0.004999909582211831,0.0999958195807942,-0.0001597675207345136,0.004995817921361809,0.004995817921361809,0.9998402324792655,0.9998402324792655,0.004999909582211831,-0.0001597675207345136,-0.0001597675207345136,0.0999958195807942,-0.0001597675207345136,0.9998402324792655,0.004999909582211831,0.004995817921361809,0.0999958195807942,0.9001598562790902,0.9951640383577276,0.09984014372090971,0.004995817921361809,0.09984014372090971,0.004995817921361809,-0.9951640383577276,0.004995817921361809,-0.0001597675207345136,0.004999909582211831,0.0001597675207345136,0.004995817921361809,0.9951640383577276,0.004995817921361809,0.0001597675207345136
0.2,0.01999750282991759,0.1999384597314189,0.1800616228927679,0.01993837710723175,0.1987905113054022,0.1999384597314189,0.9987929258512975,0.8012094886945977,0.1987905113054022,0.9824781857360682,0.1999384597314189,0.9987929258512975,0.001147948426016676,0.01631474011522938,0,0.9987929258512975,0.9987929258512975,0,0.01999750282991759,0.1999384597314189,0.8012094886945977,0,0,0.9812711115873657,0.01631474011522938,1.317785588794164e-06,5.912572268584534e-05,0.001207074148702521,5.912572268584534e-05,0.001147948426016676,0.001147948426016676,0.9824781857360682,0.9987929258512975,0.01999750282991759,0.001207074148702521,0.01999750282991759,0.001207074148702521,0.01999750282991759,0.01999750282991759,0.1999384597314189,0.9987929258512975,0.01999750282991759,0.1999384597314189,0.9987929258512975,0.01999750282991759,0.1999384597314189,0.9987929258512975,0.01999750282991759,-0.001207074148702521,0.01999750282991759,-0.001207074148702521,0.01999750282991759,0.001207074148702521,-0.001207074148702521,0.1999384597314189,0.9987929258512975,0.9987929258512975,0.01999750282991759,0.01999750282991759,0.1999384597314189,0.1999384597314189,0.9987929258512975,0.01999750282991759,-0.001207074148702521,0.01999750282991759,0.01999750282991759,0.1999384597314189,0.01999750282991759,0.1999384597314189,-0.001207074148702521,0.01993837710723175,0.01993837710723175,0.9987929258512975,0.9987929258512975,0.01999750282991759,-0.001207074148702521,-0.001207074148702521,0.1999384597314189,-0.001207074148702521,0.9987929258512975,0.01999750282991759,0.01993837710723175,0.1999384597314189,0.8012094886945977,0.9812711115873657,0.1987905113054022,0.01993837710723175,0.1987905113054022,0.01993837710723175,-0.9812711115873657,0.01993837710723175,-0.001207074148702521,0.01999750282991759,0.001207074148702521,0.01993837710723175,0.9812711115873657,0.01993837710723175,0.001207074148702521
0.3,0.04498164210158568,0.2997008511217191,0.2553000494969408,0.04469995050305849,0.2961153567713559,0.2997008511217191,0.9961328140511096,0.7038846432286441,0.2961153567713559,0.9630518786744753,0.2997008511217191,0.9961328140511096,0.003585494350363205,0.03308093537663437,0,0.9961328140511096,0.9961328140511096,0,0.04498164210158568,0.2997008511217191,0.7038846432286441,0,0,0.9591846927255849,0.03308093537663437,1.285576973648646e-05,0.0002816915985271937,0.003867185948890399,0.0002816915985271937,0.003585494350363205,0.003585494350363205,0.9630518786744753,0.9961328140511096,0.04498164210158568,0.003867185948890399,0.04498164210158568,0.003867185948890399,0.04498164210158568,0.04498164210158568,0.2997008511217191,0.9961328140511096,0.04498164210158568,0.2997008511217191,0.9961328140511096,0.04498164210158568,0.2997008511217191,0.9961328140511096,0.04498164210158568,-0.003867185948890399,0.04498164210158568,-0.003867185948890399,0.04498164210158568,0.003867185948890399,-0.003867185948890399,0.2997008511217191,0.9961328140511096,0.9961328140511096,0.04498164210158568,0.04498164210158568,0.2997008511217191,0.2997008511217191,0.9961328140511096,0.04498164210158568,-0.003867185948890399,0.04498164210158568,0.04498164210158568,0.2997008511217191,0.04498164210158568,0.2997008511217191,-0.003867185948890399,0.04469995050305849,0.04469995050305849,0.9961328140511096,0.9961328140511096,0.04498164210158568,-0.003867185948890399,-0.003867185948890399,0.2997008511217191,-0.003867185948890399,0.9961328140511096,0.04498164210158568,0.04469995050305849,0.2997008511217191,0.7038846432286441,0.9591846927255849,0.2961153567713559,0.04469995050305849,0.2961153567713559,0.04469995050305849,-0.9591846927255849,0.04469995050305849,-0.003867185948890399,0.04498164210158568,0.003867185948890399,0.04469995050305849,0.9591846927255849,0.04469995050305849,0.003867185948890399
0.4,0.07992527043601634,0.3990925790316066,0.3209122531035325,0.07908774689646689,0.3912259050021002,0.3990925790316066,0.9912958024309442,0.6087740949978998,0.3912259050021002,0.9383905456704882,0.3990925790316066,0.9912958024309442,0.007866674029506415,0.05290525676045599,0,0.9912958024309442,0.9912958024309442,0,0.07992527043601634,0.3990925790316066,0.6087740949978998,0,0,0.9296863481014324,0.05290525676045599,6.18845602865107e-05,0.0008375235395494535,0.008704197569055869,0.0008375235395494535,0.007866674029506415,0.007866674029506415,0.9383905456704882,0.9912958024309442,0.07992527043601634,0.008704197569055869,0.07992527043601634,0.008704197569055869,0.07992527043601634,0.07992527043601634,0.3990925790316066,0.9912958024309442,0.07992527043601634,0.3990925790316066,0.9912958024309442,0.07992527043601634,0.3990925790316066,0.9912958024309442,0.07992527043601634,-0.008704197569055869,0.07992527043601634,-0.008704197569055869,0.07992527043601634,0.008704197569055869,-0.008704197569055869,0.3990925790316066,0.9912958024309442,0.9912958024309442,0.07992527043601634,0.07992527043601634,0.3990925790316066,0.3990925790316066,0.9912958024309442,0.07992527043601634,-0.008704197569055869,0.07992527043601634,0.07992527043601634,0.3990925790316066,0.07992527043601634,0.3990925790316066,-0.008704197569055869,0.07908774689646689,0.07908774689646689,0.9912958024309442,0.9912958024309442,0.07992527043601634,-0.008704197569055869,-0.008704197569055869,0.3990925790316066,-0.008704197569055869,0.9912958024309442,0.07992527043601634,0.07908774689646689,0.3990925790316066,0.6087740949978998,0.9296863481014324,0.3912259050021002,0.07908774689646689,0.3912259050021002,0.07908774689646689,-0.9296863481014324,0.07908774689646689,-0.008704197569055869,0.07992527043601634,0.008704197569055869,0.07908774689646689,0.9296863481014324,0.07908774689646689,0.008704197569055869
0.5,0.1247796065691826,0.4978740129584157,0.377143634501972,0.122856365498028,0.4836560040937021,0.4978740129584157,0.9838587500641318,0.5163439959062979,0.4836560040937021,0.9096288803441381,0.4978740129584157,0.9838587500641318,0.01421800886471358,0.07422986971999368,0,0.9838587500641318,0.9838587500641318,0,0.1247796065691826,0.4978740129584157,0.5163439959062979,0,0,0.89348763040827,0.07422986971999368,0.000202151776077074,0.001923241071154616,0.0161412499358682,0.001923241071154616,0.01421800886471358,0.01421800886471358,0.9096288803441381,0.9838587500641318,0.1247796065691826,0.0161412499358682,0.1247796065691826,0.0161412499358682,0.1247796065691826,0.1247796065691826,0.4978740129584157,0.9838587500641318,0.1247796065691826,0.4978740129584157,0.9838587500641318,0.1247796065691826,0.4978740129584157,0.9838587500641318,0.1247796065691826,-0.0161412499358682,0.1247796065691826,-0.0161412499358682,0.1247796065691826,0.0161412499358682,-0.0161412499358682,0.4978740129584157,0.9838587500641318,0.9838587500641318,0.1247796065691826,0.1247796065691826,0.4978740129584157,0.4978740129584157,0.9838587500641318,0.1247796065691826,-0.0161412499358682,0.1247796065691826,0.1247796065691826,0.4978740129584157,0.1247796065691826,0.4978740129584157,-0.0161412499358682,0.122856365498028,0.122856365498028,0.9838587500641318,0.9838587500641318,0.1247796065691826,-0.0161412499358682,-0.0161412499358682,0.4978740129584157,-0.0161412499358682,0.9838587500641318,0.1247796065691826,0.122856365498028,0.4978740129584157,0.5163439959062979,0.89348763040827,0.4836560040937021,0.122856365498028,0.4836560040937021,0.122856365498028,-0.89348763040827,0.122856365498028,-0.0161412499358682,0.1247796065691826,0.0161412499358682,0.122856365498028,0.89348763040827,0.122856365498028,0.0161412499358682
0.6,0.1794701535818389,0.595769056233307,0.4242813201075279,0.1757186798924741,0.5730446353463468,0.595769056233307,0.973524105423675,0.4269553646536532,0.5730446353463468,0.8777125793375062,0.595769056233307,0.973524105423675,0.02272442088696025,0.09581152608616872,0,0.973524105423675,0.973524105423675,0,0.1794701535818389,0.595769056233307,0.4269553646536532,0,0,0.8512366847611812,0.09581152608616872,0.0005163993046477153,0.003751473689364848,0.0264758945763251,0.003751473689364848,0.02272442088696025,0.02272442088696025,0.8777125793375062,0.973524105423675,0.1794701535818389,0.0264758945763251,0.1794701535818389,0.0264758945763251,0.1794701535818389,0.1794701535818389,0.595769056233307,0.973524105423675,0.1794701535818389,0.595769056233307,0.973524105423675,0.1794701535818389,0.595769056233307,0.973524105423675,0.1794701535818389,-0.0264758945763251,0.1794701535818389,-0.0264758945763251,0.1794701535818389,0.0264758945763251,-0.0264758945763251,0.595769056233307,0.973524105423675,0.973524105423675,0.1794701535818389,0.1794701535818389,0.595769056233307,0.595769056233307,0.973524105423675,0.1794701535818389,-0.0264758945763251,0.1794701535818389,0.1794701535818389,0.595769056233307,0.1794701535818389,0.595769056233307,-0.0264758945763251,0.1757186798924741,0.1757186798924741,0.973524105423675,0.973524105423675,0.1794701535818389,-0.0264758945763251,-0.0264758945763251,0.595769056233307,-0.0264758945763251,0.973524105423675,0.1794701535818389,0.1757186798924741,0.595769056233307,0.4269553646536532,0.8512366847611812,0.5730446353463468,0.1757186798924741,0.5730446353463468,0.1757186798924741,-0.8512366847611812,0.1757186798924741,-0.0264758945763251,0.1794701535818389,0.0264758945763251,0.1757186798924741,0.8512366847611812,0.1757186798924741,0.0264758945763251
0.7,0.2438935163630629,0.6924773116801081,0.4626441118532524,0.237355888146752,0.6591173435064879,0.6924773116801081,0.9601024036100689,0.3408826564935121,0.6591173435064879,0.8434243647366956,0.6924773116801081,0.9601024036100689,0.03335996817362019,0.1166780388733734,0,0.9601024036100689,0.9601024036100689,0,0.2438935163630629,0.6924773116801081,0.3408826564935121,0,0,0.8035267683467645,0.1166780388733734,0.001112887476544952,0.006537628216310848,0.03989759638993104,0.006537628216310848,0.03335996817362019,0.03335996817362019,0.8434243647366956,0.9601024036100689,0.2438935163630629,0.03989759638993104,0.2438935163630629,0.03989759638993104,0.2438935163630629,0.2438935163630629,0.6924773116801081,0.9601024036100689,0.2438935163630629,0.6924773116801081,0.9601024036100689,0.2438935163630629,0.6924773116801081,0.9601024036100689,0.2438935163630629,-0.03989759638993104,0.2438935163630629,-0.03989759638993104,0.2438935163630629,0.03989759638993104,-0.03989759638993104,0.6924773116801081,0.9601024036100689,0.9601024036100689,0.2438935163630629,0.2438935163630629,0.6924773116801081,0.6924773116801081,0.9601024036100689,0.2438935163630629,-0.03989759638993104,0.2438935163630629,0.2438935163630629,0.6924773116801081,0.2438935163630629,0.6924773116801081,-0.03989759638993104,0.237355888146752,0.237355888146752,0.9601024036100689,0.9601024036100689,0.2438935163630629,-0.03989759638993104,-0.03989759638993104,0.6924773116801081,-0.03989759638993104,0.9601024036100689,0.2438935163630629,0.237355888146752,0.6924773116801081,0.3408826564935121,0.8035267683467645,0.6591173435064879,0.237355888146752,0.6591173435064879,0.237355888146752,-0.8035267683467645,0.237355888146752,-0.03989759638993104,0.2438935163630629,0.03989759638993104,0.237355888146752,0.8035267683467645,0.237355888146752,0.03989759638993104
0.8,0.3179153728204306,0.7876845601592769,0.4925742634043478,0.3074257365956589,0.7416701072879266,0.7876845601592769,0.943495910903878,0.2583298927120734,0.7416701072879266,0.8074082452125433,0.7876845601592769,0.943495910903878,0.04601445287135031,0.1360876656913347,0,0.943495910903878,0.943495910903878,0,0.3179153728204306,0.7876845601592769,0.2583298927120734,0,0,0.7509041561164213,0.1360876656913347,0.002117329873049719,0.01048963622477173,0.05650408909612203,0.01048963622477173,0.04601445287135031,0.04601445287135031,0.8074082452125433,0.943495910903878,0.3179153728204306,0.05650408909612203,0.3179153728204306,0.05650408909612203,0.3179153728204306,0.3179153728204306,0.7876845601592769,0.943495910903878,0.3179153728204306,0.7876845601592769,0.943495910903878,0.3179153728204306,0.7876845601592769,0.943495910903878,0.3179153728204306,-0.05650408909612203,0.3179153728204306,-0.05650408909612203,0.3179153728204306,0.05650408909612203,-0.05650408909612203,0.7876845601592769,0.943495910903878,0.943495910903878,0.3179153728204306,0.3179153728204306,0.7876845601592769,0.7876845601592769,0.943495910903878,0.3179153728204306,-0.05650408909612203,0.3179153728204306,0.3179153728204306,0.7876845601592769,0.3179153728204306,0.7876845601592769,-0.05650408909612203,0.3074257365956589,0.3074257365956589,0.943495910903878,0.943495910903878,0.3179153728204306,-0.05650408909612203,-0.05650408909612203,0.7876845601592769,-0.05650408909612203,0.943495910903878,0.3179153728204306,0.3074257365956589,0.7876845601592769,0.2583298927120734,0.7509041561164213,0.7416701072879266,0.3074257365956589,0.7416701072879266,0.3074257365956589,-0.7509041561164213,0.3074257365956589,-0.05650408909612203,0.3179153728204306,0.05650408909612203,0.3074257365956589,0.7509041561164213,0.3074257365956589,0.05650408909612203
0.9,0.4013696255506646,0.8810706000986572,0.5144315958321486,0.3855684041678595,0.8205575112162198,0.8810706000986572,0.9236856897347574,0.1794424887837802,0.8205575112162198,0.7701883948811714,0.8810706000986572,0.9236856897347574,0.06051308888243745,0.153497294853586,0,0.9236856897347574,0.9236856897347574,0,0.4013696255506646,0.8810706000986572,0.1794424887837802,0,0,0.6938740846159288,0.153497294853586,0.003661833926093775,0.0158012213828051,0.07631431026524255,0.0158012213828051,0.06051308888243745,0.06051308888243745,0.7701883948811714,0.9236856897347574,0.4013696255506646,0.07631431026524255,0.4013696255506646,0.07631431026524255,0.4013696255506646,0.4013696255506646,0.8810706000986572,0.9236856897347574,0.4013696255506646,0.8810706000986572,0.9236856897347574,0.4013696255506646,0.8810706000986572,0.9236856897347574,0.4013696255506646,-0.07631431026524255,0.4013696255506646,-0.07631431026524255,0.4013696255506646,0.07631431026524255,-0.07631431026524255,0.8810706000986572,0.9236856897347574,0.9236856897347574,0.4013696255506646,0.4013696255506646,0.8810706000986572,0.8810706000986572,0.9236856897347574,0.4013696255506646,-0.07631431026524255,0.4013696255506646,0.4013696255506646,0.8810706000986572,0.4013696255506646,0.8810706000986572,-0.07631431026524255,0.3855684041678595,0.3855684041678595,0.9236856897347574,0.9236856897347574,0.4013696255506646,-0.07631431026524255,-0.07631431026524255,0.8810706000986572,-0.07631431026524255,0.9236856897347574,0.4013696255506646,0.3855684041678595,0.8810706000986572,0.1794424887837802,0.6938740846159288,0.8205575112162198,0.3855684041678595,0.8205575112162198,0.3855684041678595,-0.6938740846159288,0.3855684041678595,-0.07631431026524255,0.4013696255506646,0.07631431026524255,0.3855684041678595,0.6938740846159288,0.3855684041678595,0.07631431026524255
